Space ID: 1, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 2, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 3, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 4, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 5, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 6, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 7, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 8, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 9, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 10, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 11, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 12, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 13, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 14, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 15, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 16, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 17, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 18, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 19, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 20, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 21, Is Occupied: 1, Revenue Generated: 0.00, Occupancy: 1
Space ID: 22, Is Occupied: 1, Revenue Generated: 868.22, Occupancy: 3
Space ID: 23, Is Occupied: 1, Revenue Generated: 0.00, Occupancy: 1
Space ID: 24, Is Occupied: 1, Revenue Generated: 0.00, Occupancy: 1
Space ID: 25, Is Occupied: 1, Revenue Generated: 470.85, Occupancy: 2
Space ID: 26, Is Occupied: 1, Revenue Generated: 0.00, Occupancy: 1
Space ID: 27, Is Occupied: 1, Revenue Generated: 0.00, Occupancy: 1
Space ID: 28, Is Occupied: 1, Revenue Generated: 0.00, Occupancy: 1
Space ID: 29, Is Occupied: 1, Revenue Generated: 100.00, Occupancy: 2
Space ID: 30, Is Occupied: 1, Revenue Generated: 100.00, Occupancy: 2
Space ID: 31, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 32, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 33, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 34, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 35, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 36, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 37, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 38, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 39, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 40, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 41, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 42, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 43, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 44, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 45, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 46, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 47, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 48, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 49, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
Space ID: 50, Is Occupied: 0, Revenue Generated: 0.00, Occupancy: 0
